loan_id,monthly_reporting_period,scenario,target,predicted_probability
100743858187,112020,Adverse-Credit,next_6m_delinquency_flag,0.0040426179355923
100743858187,122020,Adverse-Credit,next_6m_delinquency_flag,0.0040426179355923
100743858187,12021,Adverse-Credit,next_6m_delinquency_flag,0.0040426179355923
100743858187,22021,Adverse-Credit,next_6m_delinquency_flag,0.0040426179355923
100743858187,32021,Adverse-Credit,next_6m_delinquency_flag,0.0040426179355923
100743858187,42021,Adverse-Credit,next_6m_delinquency_flag,0.0040426179355923
100743858187,52021,Adverse-Credit,next_6m_delinquency_flag,0.0040426179355923
100743858187,62021,Adverse-Credit,next_6m_delinquency_flag,0.0040426179355923
100743858187,72021,Adverse-Credit,next_6m_delinquency_flag,0.0040426179355923
100743858187,82021,Adverse-Credit,next_6m_delinquency_flag,0.0040426179355923
100743858187,92021,Adverse-Credit,next_6m_delinquency_flag,0.0040426179355923
100743858187,102021,Adverse-Credit,next_6m_delinquency_flag,0.0040426179355923
100743858187,112021,Adverse-Credit,next_6m_delinquency_flag,0.0040426179355923
100743858187,122021,Adverse-Credit,next_6m_delinquency_flag,0.0040426179355923
100743858187,12022,Adverse-Credit,next_6m_delinquency_flag,0.0040426179355923
100743858187,22022,Adverse-Credit,next_6m_delinquency_flag,0.0040426179355923
100743858187,32022,Adverse-Credit,next_6m_delinquency_flag,0.0040426179355923
100743858187,42022,Adverse-Credit,next_6m_delinquency_flag,0.0040426179355923
100743858187,52022,Adverse-Credit,next_6m_delinquency_flag,0.0040426179355923
100743858187,62022,Adverse-Credit,next_6m_delinquency_flag,0.0040426179355923
100743858187,72022,Adverse-Credit,next_6m_delinquency_flag,0.0040426179355923
100743858187,82022,Adverse-Credit,next_6m_delinquency_flag,0.0040426179355923
100743858187,92022,Adverse-Credit,next_6m_delinquency_flag,0.0040426179355923
100743858187,102022,Adverse-Credit,next_6m_delinquency_flag,0.0040426179355923
100743858187,112022,Adverse-Credit,next_6m_delinquency_flag,0.0030894105010777
100156916838,12018,Adverse-Credit,next_12m_default_flag,0.001937070010955
100156916838,22018,Adverse-Credit,next_12m_default_flag,0.001937070010955
100156916838,32018,Adverse-Credit,next_12m_default_flag,0.001937070010955
100743858187,12018,Adverse-Credit,next_12m_default_flag,0.001937070010955
100743858187,22018,Adverse-Credit,next_12m_default_flag,0.001937070010955
100743858187,32018,Adverse-Credit,next_12m_default_flag,0.001937070010955
100743858187,42018,Adverse-Credit,next_12m_default_flag,0.001937070010955
100743858187,52018,Adverse-Credit,next_12m_default_flag,0.001937070010955
100743858187,62018,Adverse-Credit,next_12m_default_flag,0.001937070010955
100743858187,72018,Adverse-Credit,next_12m_default_flag,0.001937070010955
100743858187,82018,Adverse-Credit,next_12m_default_flag,0.001937070010955
100743858187,92018,Adverse-Credit,next_12m_default_flag,0.001937070010955
100743858187,102018,Adverse-Credit,next_12m_default_flag,0.001937070010955
100743858187,112018,Adverse-Credit,next_12m_default_flag,0.001937070010955
100743858187,122018,Adverse-Credit,next_12m_default_flag,0.001937070010955
100743858187,12019,Adverse-Credit,next_12m_default_flag,0.001937070010955
100743858187,22019,Adverse-Credit,next_12m_default_flag,0.001937070010955
100743858187,32019,Adverse-Credit,next_12m_default_flag,0.001937070010955
100743858187,42019,Adverse-Credit,next_12m_default_flag,0.001937070010955
100743858187,52019,Adverse-Credit,next_12m_default_flag,0.001937070010955
100743858187,62019,Adverse-Credit,next_12m_default_flag,0.001937070010955
100743858187,72019,Adverse-Credit,next_12m_default_flag,0.001937070010955
100743858187,82019,Adverse-Credit,next_12m_default_flag,0.001937070010955
100743858187,92019,Adverse-Credit,next_12m_default_flag,0.001937070010955
100743858187,102019,Adverse-Credit,next_12m_default_flag,0.001937070010955
100743858187,112019,Adverse-Credit,next_12m_default_flag,0.001937070010955
100743858187,122019,Adverse-Credit,next_12m_default_flag,0.001937070010955
100743858187,12020,Adverse-Credit,next_12m_default_flag,0.001937070010955
100743858187,22020,Adverse-Credit,next_12m_default_flag,0.001937070010955
100743858187,32020,Adverse-Credit,next_12m_default_flag,0.001937070010955
